Année;Essence;Diesel;Electriques;Emissions
1990;1.0;0;0;NOx
1991;1.1;0;0;NOx
1992;1.2;0.040;0;NOx
1993;1.5;0.11;0;NOx
1994;1.4;0.17;0;NOx
1995;1.3;0.22;0;NOx
1996;1.3;0.27;0;NOx
1997;1.6;0.32;0;NOx
1998;2.1;0.36;0;NOx
1999;2.3;0.39;0;NOx
2000;2.7;0.42;0;NOx
2001;3.1;0.43;0;NOx
2002;3.5;0.44;0;NOx
2003;3.6;0.44;0;NOx
2004;3.9;0.44;0;NOx
2005;4.0;0.45;0;NOx
2006;3.9;0.48;0;NOx
2007;4.1;0.52;0;NOx
2008;4.1;0.57;0;NOx
2009;4.2;0.63;0;NOx
1990;41;0;0;COVNM
1991;39;0;0;COVNM
1992;38;0;0;COVNM
1993;45;0.02;0;COVNM
1994;38;0.03;0;COVNM
1995;32;0.04;0;COVNM
1996;31;0.05;0;COVNM
1997;37;0.06;0;COVNM
1998;44;0.07;0;COVNM
1999;43;0.07;0;COVNM
2000;44;0.08;0;COVNM
2001;43;0.08;0;COVNM
2002;42;0.08;0;COVNM
2003;38;0.08;0;COVNM
2004;37;0.08;0;COVNM
2005;34;0.08;0;COVNM
2006;31;0.09;0;COVNM
2007;29;0.10;0;COVNM
2008;28;0.11;0;COVNM
2009;28;0.12;0;COVNM
1990;108;0;0;CO
1991;108;0;0;CO
1992;111;0.046;0;CO
1993;138;0.12;0;CO
1994;121;0.19;0;CO
1995;105;0.25;0;CO
1996;105;0.31;0;CO
1997;130;0.37;0;CO
1998;163;0.41;0;CO
1999;169;0.45;0;CO
2000;180;0.47;0;CO
2001;188;0.49;0;CO
2002;195;0.50;0;CO
2003;183;0.50;0;CO
2004;181;0.50;0;CO
2005;167;0.51;0;CO
2006;145;0.54;0;CO
2007;132;0.59;0;CO
2008;119;0.65;0;CO
2009;111;0.71;0;CO
1990;0.89;0;0;PM10
1991;0.84;0;0;PM10
1992;0.82;0.01;0;PM10
1993;0.97;0.03;0;PM10
1994;0.81;0.05;0;PM10
1995;0.68;0.07;0;PM10
1996;0.66;0.09;0;PM10
1997;0.78;0.10;0;PM10
1998;0.93;0.12;0;PM10
1999;0.92;0.12;0;PM10
2000;0.93;0.13;0;PM10
2001;0.91;0.12;0;PM10
2002;0.90;0.12;0;PM10
2003;0.80;0.11;0;PM10
2004;0.76;0.11;0;PM10
2005;0.69;0.10;0;PM10
2006;0.62;0.10;0;PM10
2007;0.58;0.11;0;PM10
2008;0.56;0.12;0;PM10
2009;0.56;0.13;0;PM10
1990;0.86;0;0;PM2,5
1991;0.81;0;0;PM2,5
1992;0.79;0.01;0;PM2,5
1993;0.94;0.03;0;PM2,5
1994;0.78;0.05;0;PM2,5
1995;0.65;0.07;0;PM2,5
1996;0.63;0.09;0;PM2,5
1997;0.75;0.10;0;PM2,5
1998;0.89;0.11;0;PM2,5
1999;0.88;0.12;0;PM2,5
2000;0.88;0.12;0;PM2,5
2001;0.86;0.12;0;PM2,5
2002;0.84;0.12;0;PM2,5
2003;0.74;0.11;0;PM2,5
2004;0.70;0.10;0;PM2,5
2005;0.63;0.10;0;PM2,5
2006;0.55;0.10;0;PM2,5
2007;0.51;0.10;0;PM2,5
2008;0.49;0.11;0;PM2,5
2009;0.48;0.12;0;PM2,5
1990;0.62;0;0;PM1
1991;0.59;0;0;PM1
1992;0.57;0.01;0;PM1
1993;0.68;0.03;0;PM1
1994;0.56;0.05;0;PM1
1995;0.47;0.06;0;PM1
1996;0.46;0.08;0;PM1
1997;0.54;0.09;0;PM1
1998;0.64;0.10;0;PM1
1999;0.63;0.11;0;PM1
2000;0.63;0.11;0;PM1
2001;0.61;0.11;0;PM1
2002;0.59;0.11;0;PM1
2003;0.52;0.10;0;PM1
2004;0.48;0.09;0;PM1
2005;0.43;0.09;0;PM1
2006;0.37;0.09;0;PM1
2007;0.34;0.09;0;PM1
2008;0.31;0.10;0;PM1
2009;0.30;0.11;0;PM1
1990;0.09;0;0;BC
1991;0.09;0;0;BC
1992;0.09;0;0;BC
1993;0.10;0;0;BC
1994;0.08;0;0;BC
1995;0.07;0.01;0;BC
1996;0.07;0.01;0;BC
1997;0.08;0.01;0;BC
1998;0.10;0.02;0;BC
1999;0.10;0.02;0;BC
2000;0.10;0.02;0;BC
2001;0.11;0.02;0;BC
2002;0.11;0.02;0;BC
2003;0.10;0.02;0;BC
2004;0.10;0.02;0;BC
2005;0.10;0.02;0;BC
2006;0.09;0.02;0;BC
2007;0.09;0.02;0;BC
2008;0.09;0.03;0;BC
2009;0.09;0.03;0;BC
1990;0;0;0;du
1991;0;0;0;du
1992;0;0;0;du
1993;0.01;0;0;du
1994;0.01;0;0;du
1995;0;0;0;du
1996;0;0;0;du
1997;0.01;0;0;du
1998;0.01;0;0;du
1999;0.01;0;0;du
2000;0.01;0;0;du
2001;0.01;0;0;du
2002;0.01;0;0;du
2003;0.01;0;0;du
2004;0.01;0;0;du
2005;0.01;0;0;du
2006;0.01;0;0;du
2007;0.01;0;0;du
2008;0.01;0;0;du
2009;0.01;0;0;du
1990;0.02;0;0;Cd
1991;0.02;0;0;Cd
1992;0.02;0;0;Cd
1993;0.02;0;0;Cd
1994;0.02;0;0;Cd
1995;0.01;0;0;Cd
1996;0.01;0;0;Cd
1997;0.01;0;0;Cd
1998;0.02;0;0;Cd
1999;0.02;0;0;Cd
2000;0.02;0;0;Cd
2001;0.02;0;0;Cd
2002;0.02;0;0;Cd
2003;0.02;0;0;Cd
2004;0.02;0;0;Cd
2005;0.02;0;0;Cd
2006;0.02;0;0;Cd
2007;0.02;0;0;Cd
2008;0.02;0;0;Cd
2009;0.02;0;0;Cd
1990;0.02;0;0;Cr
1991;0.02;0;0;Cr
1992;0.02;0;0;Cr
1993;0.02;0;0;Cr
1994;0.02;0;0;Cr
1995;0.02;0;0;Cr
1996;0.01;0;0;Cr
1997;0.02;0;0;Cr
1998;0.02;0;0;Cr
1999;0.02;0;0;Cr
2000;0.02;0;0;Cr
2001;0.02;0;0;Cr
2002;0.02;0;0;Cr
2003;0.02;0;0;Cr
2004;0.02;0;0;Cr
2005;0.02;0;0;Cr
2006;0.02;0;0;Cr
2007;0.02;0;0;Cr
2008;0.03;0;0;Cr
2009;0.03;0;0;Cr
1990;0.97;0;0;Cu
1991;0.94;0;0;Cu
1992;0.93;0.01;0;Cu
1993;1.1;0.02;0;Cu
1994;0.94;0.03;0;Cu
1995;0.80;0.04;0;Cu
1996;0.79;0.05;0;Cu
1997;0.95;0.06;0;Cu
1998;1.1;0.07;0;Cu
1999;1.2;0.07;0;Cu
2000;1.3;0.08;0;Cu
2001;1.4;0.08;0;Cu
2002;1.5;0.08;0;Cu
2003;1.5;0.08;0;Cu
2004;1.6;0.08;0;Cu
2005;1.7;0.08;0;Cu
2006;1.8;0.09;0;Cu
2007;1.8;0.10;0;Cu
2008;1.9;0.11;0;Cu
2009;2.1;0.12;0;Cu
1990;40;0;0;Pb
1991;27;0;0;Pb
1992;19;0;0;Pb
1993;22;0;0;Pb
1994;17;0;0;Pb
1995;14;0;0;Pb
1996;12;0;0;Pb
1997;14;0;0;Pb
1998;15;0;0;Pb
1999;12;0;0;Pb
2000;0.78;0;0;Pb
2001;0.65;0;0;Pb
2002;0.71;0;0;Pb
2003;0.72;0;0;Pb
2004;0.77;0;0;Pb
2005;0.80;0;0;Pb
2006;0.83;0.04;0;Pb
2007;0.84;0.04;0;Pb
2008;0.91;0.05;0;Pb
2009;0.99;0.06;0;Pb
1990;4.7;0;0;Zn
1991;4.4;0;0;Zn
1992;4.3;0;0;Zn
1993;5.0;0.027;0;Zn
1994;4.2;0.041;0;Zn
1995;3.5;0.055;0;Zn
1996;3.4;0.068;0;Zn
1997;4.0;0.080;0;Zn
1998;4.7;0.090;0;Zn
1999;4.7;0.098;0;Zn
2000;4.9;0.10;0;Zn
2001;5.2;0.11;0;Zn
2002;5.4;0.11;0;Zn
2003;5.3;0.11;0;Zn
2004;5.4;0.11;0;Zn
2005;5.5;0.11;0;Zn
2006;5.4;0.12;0;Zn
2007;5.5;0.13;0;Zn
2008;5.8;0.14;0;Zn
2009;6.2;0.16;0;Zn
1990;0.02;0;0;HAP
1991;0.02;0;0;HAP
1992;0.02;0;0;HAP
1993;0.02;0;0;HAP
1994;0.02;0;0;HAP
1995;0.02;0;0;HAP
1996;0.02;0;0;HAP
1997;0.02;0;0;HAP
1998;0.02;0;0;HAP
1999;0.03;0;0;HAP
2000;0.03;0;0;HAP
2001;0.03;0;0;HAP
2002;0.03;0;0;HAP
2003;0.03;0;0;HAP
2004;0.04;0;0;HAP
2005;0.04;0;0;HAP
2006;0.04;0;0;HAP
2007;0.04;0;0;HAP
2008;0.04;0;0;HAP
2009;0.05;0;0;HAP
1990;0.20;0;0;PCDD-F
1991;0.19;0;0;PCDD-F
1992;0.20;0;0;PCDD-F
1993;0.24;0;0;PCDD-F
1994;0.21;0.01;0;PCDD-F
1995;0.18;0.02;0;PCDD-F
1996;0.18;0.02;0;PCDD-F
1997;0.22;0.02;0;PCDD-F
1998;0.27;0.03;0;PCDD-F
1999;0.28;0.03;0;PCDD-F
2000;0.30;0.03;0;PCDD-F
2001;0.34;0.03;0;PCDD-F
2002;0.37;0.03;0;PCDD-F
2003;0.38;0.03;0;PCDD-F
2004;0.41;0.03;0;PCDD-F
2005;0.43;0.03;0;PCDD-F
2006;0.43;0.04;0;PCDD-F
2007;0.42;0.04;0;PCDD-F
2008;0.41;0.04;0;PCDD-F
2009;0.40;0.05;0;PCDD-F
1990;0.43;0;0;SO2
1991;0.41;0;0;SO2
1992;0.41;0.009;0;SO2
1993;0.51;0.024;0;SO2
1994;0.44;0.033;0;SO2
1995;0.32;0.032;0;SO2
1996;0.30;0.032;0;SO2
1997;0.36;0.012;0;SO2
1998;0.43;0.013;0;SO2
1999;0.30;0.012;0;SO2
2000;0.10;0.010;0;SO2
2001;0.11;0.011;0;SO2
2002;0.12;0.011;0;SO2
2003;0.12;0.011;0;SO2
2004;0.13;0.011;0;SO2
2005;0.045;0.002;0;SO2
2006;0.045;0.002;0;SO2
2007;0.047;0.002;0;SO2
2008;0.050;0.002;0;SO2
2009;0.011;0.000;0;SO2
1990;0.02;0;0;Ni
1991;0.02;0;0;Ni
1992;0.02;0;0;Ni
1993;0.02;0;0;Ni
1994;0.02;0;0;Ni
1995;0.02;0;0;Ni
1996;0.02;0;0;Ni
1997;0.02;0;0;Ni
1998;0.02;0;0;Ni
1999;0.02;0;0;Ni
2000;0.02;0;0;Ni
2001;0.02;0;0;Ni
2002;0.03;0;0;Ni
2003;0.03;0;0;Ni
2004;0.03;0;0;Ni
2005;0.03;0;0;Ni
2006;0.03;0;0;Ni
2007;0.03;0;0;Ni
2008;0.03;0;0;Ni
2009;0.03;0;0;Ni
1990;0;0;0;benzène
1991;0;0;0;benzène
1992;0;0;0;benzène
1993;0;0;0;benzène
1994;0;0;0;benzène
1995;0;0;0;benzène
1996;0;0;0;benzène
1997;0;0;0;benzène
1998;0;0;0;benzène
1999;0;0;0;benzène
2000;1138;0;0;benzène
2001;1150;0;0;benzène
2002;1160;0;0;benzène
2003;1081;0;0;benzène
2004;1105;0;0;benzène
2005;1067;0;0;benzène
2006;986;0;0;benzène
2007;924;0;0;benzène
2008;895;0;0;benzène
2009;880;0;0;benzène
