Année;Polluant;Fuel;Emissions
2010;NOx;Diesel;539.0
2011;NOx;Diesel;529.0
2012;NOx;Diesel;510.0
2013;NOx;Diesel;502.0
2014;NOx;Diesel;491.0
2015;NOx;Diesel;479.0
2016;NOx;Diesel;460.0
2017;NOx;Diesel;442.0
2018;NOx;Diesel;408.0
2010;COVNM;Diesel;26.0
2011;COVNM;Diesel;23.0
2012;COVNM;Diesel;21.0
2013;COVNM;Diesel;18.0
2014;COVNM;Diesel;15.0
2015;COVNM;Diesel;14.0
2016;COVNM;Diesel;12.0
2017;COVNM;Diesel;11.0
2018;COVNM;Diesel;9.0
2010;CO;Diesel;150.0
2011;CO;Diesel;141.0
2012;CO;Diesel;130.0
2013;CO;Diesel;117.0
2014;CO;Diesel;107.0
2015;CO;Diesel;97.0
2016;CO;Diesel;85.0
2017;CO;Diesel;77.0
2018;CO;Diesel;65.0
2010;PM10;Diesel;40.0
2011;PM10;Diesel;37.0
2012;PM10;Diesel;35.0
2013;PM10;Diesel;33.0
2014;PM10;Diesel;31.0
2015;PM10;Diesel;29.0
2016;PM10;Diesel;28.0
2017;PM10;Diesel;26.0
2018;PM10;Diesel;24.0
2010;PM2,5;Diesel;35.0
2011;PM2,5;Diesel;32.0
2012;PM2,5;Diesel;30.0
2013;PM2,5;Diesel;28.0
2014;PM2,5;Diesel;25.0
2015;PM2,5;Diesel;24.0
2016;PM2,5;Diesel;22.0
2017;PM2,5;Diesel;20.0
2018;PM2,5;Diesel;18.0
2010;PM1;Diesel;27.0
2011;PM1;Diesel;24.0
2012;PM1;Diesel;22.0
2013;PM1;Diesel;20.0
2014;PM1;Diesel;18.0
2015;PM1;Diesel;16.0
2016;PM1;Diesel;15.0
2017;PM1;Diesel;13.0
2018;PM1;Diesel;11.0
2010;BC;Diesel;23.0
2011;BC;Diesel;20.0
2012;BC;Diesel;19.0
2013;BC;Diesel;17.0
2014;BC;Diesel;15.0
2015;BC;Diesel;14.0
2016;BC;Diesel;13.0
2017;BC;Diesel;11.0
2018;BC;Diesel;9.7
2010;du;Diesel;1.06
2011;du;Diesel;1.09
2012;du;Diesel;1.1
2013;du;Diesel;1.12
2014;du;Diesel;1.13
2015;du;Diesel;1.14
2016;du;Diesel;1.17
2017;du;Diesel;1.16
2018;du;Diesel;1.13
2010;Cd;Diesel;0.33
2011;Cd;Diesel;0.34
2012;Cd;Diesel;0.35
2013;Cd;Diesel;0.36
2014;Cd;Diesel;0.36
2015;Cd;Diesel;0.37
2016;Cd;Diesel;0.38
2017;Cd;Diesel;0.38
2018;Cd;Diesel;0.37
2010;Cr;Diesel;1.54
2011;Cr;Diesel;1.6
2012;Cr;Diesel;1.61
2013;Cr;Diesel;1.63
2014;Cr;Diesel;1.65
2015;Cr;Diesel;1.68
2016;Cr;Diesel;1.71
2017;Cr;Diesel;1.7
2018;Cr;Diesel;1.67
2010;Cu;Diesel;109.0
2011;Cu;Diesel;117.0
2012;Cu;Diesel;115.0
2013;Cu;Diesel;117.0
2014;Cu;Diesel;116.0
2015;Cu;Diesel;116.0
2016;Cu;Diesel;117.0
2017;Cu;Diesel;117.0
2018;Cu;Diesel;115.0
2010;Pb;Diesel;38.0
2011;Pb;Diesel;41.0
2012;Pb;Diesel;41.0
2013;Pb;Diesel;41.0
2014;Pb;Diesel;41.0
2015;Pb;Diesel;42.0
2016;Pb;Diesel;42.0
2017;Pb;Diesel;42.0
2018;Pb;Diesel;40.0
2010;Zn;Diesel;210.36
2011;Zn;Diesel;219.74
2012;Zn;Diesel;220.77
2013;Zn;Diesel;225.34
2014;Zn;Diesel;227.55
2015;Zn;Diesel;231.05
2016;Zn;Diesel;235.67
2017;Zn;Diesel;233.96
2018;Zn;Diesel;229.08
2010;HAP;Diesel;3.1
2011;HAP;Diesel;2.9
2012;HAP;Diesel;2.8
2013;HAP;Diesel;2.7
2014;HAP;Diesel;2.6
2015;HAP;Diesel;2.5
2016;HAP;Diesel;2.4
2017;HAP;Diesel;2.3
2018;HAP;Diesel;2.2
2010;PCDD-F;Diesel;25.51
2011;PCDD-F;Diesel;24.81
2012;PCDD-F;Diesel;23.34
2013;PCDD-F;Diesel;21.61
2014;PCDD-F;Diesel;19.94
2015;PCDD-F;Diesel;18.52
2016;PCDD-F;Diesel;17.12
2017;PCDD-F;Diesel;15.25
2018;PCDD-F;Diesel;13.39
2010;SO2;Diesel;1.0
2011;SO2;Diesel;1.0
2012;SO2;Diesel;1.0
2013;SO2;Diesel;1.0
2014;SO2;Diesel;1.0
2015;SO2;Diesel;1.0
2016;SO2;Diesel;1.0
2017;SO2;Diesel;1.0
2018;SO2;Diesel;1.0
2010;Ni;Diesel;1.0
2011;Ni;Diesel;1.05
2012;Ni;Diesel;1.05
2013;Ni;Diesel;1.07
2014;Ni;Diesel;1.08
2015;Ni;Diesel;1.1
2016;Ni;Diesel;1.12
2017;Ni;Diesel;1.11
2018;Ni;Diesel;1.09
2010;benzène;Diesel;1346.0
2011;benzène;Diesel;1191.0
2012;benzène;Diesel;1054.0
2013;benzène;Diesel;904.0
2014;benzène;Diesel;777.0
2015;benzène;Diesel;696.0
2016;benzène;Diesel;597.0
2017;benzène;Diesel;529.0
2018;benzène;Diesel;441.0
2010;NOx;Essence;42.0
2011;NOx;Essence;34.0
2012;NOx;Essence;28.0
2013;NOx;Essence;24.0
2014;NOx;Essence;22.0
2015;NOx;Essence;18.0
2016;NOx;Essence;16.0
2017;NOx;Essence;15.0
2018;NOx;Essence;13.0
2010;COVNM;Essence;82.0
2011;COVNM;Essence;71.0
2012;COVNM;Essence;62.0
2013;COVNM;Essence;57.0
2014;COVNM;Essence;52.0
2015;COVNM;Essence;50.0
2016;COVNM;Essence;47.0
2017;COVNM;Essence;45.0
2018;COVNM;Essence;43.0
2010;CO;Essence;518.0
2011;CO;Essence;409.0
2012;CO;Essence;358.0
2013;CO;Essence;319.0
2014;CO;Essence;268.0
2015;CO;Essence;278.0
2016;CO;Essence;261.0
2017;CO;Essence;245.0
2018;CO;Essence;229.0
2010;PM10;Essence;4.0
2011;PM10;Essence;3.0
2012;PM10;Essence;3.0
2013;PM10;Essence;3.0
2014;PM10;Essence;3.0
2015;PM10;Essence;3.0
2016;PM10;Essence;3.0
2017;PM10;Essence;3.0
2018;PM10;Essence;3.0
2010;PM2,5;Essence;2.3
2011;PM2,5;Essence;2.1
2012;PM2,5;Essence;2.0
2013;PM2,5;Essence;1.9
2014;PM2,5;Essence;1.9
2015;PM2,5;Essence;1.9
2016;PM2,5;Essence;2.0
2017;PM2,5;Essence;2.0
2018;PM2,5;Essence;2.1
2010;PM1;Essence;0.7
2011;PM1;Essence;0.7
2012;PM1;Essence;0.6
2013;PM1;Essence;0.6
2014;PM1;Essence;0.6
2015;PM1;Essence;0.6
2016;PM1;Essence;0.6
2017;PM1;Essence;0.6
2018;PM1;Essence;0.6
2010;BC;Essence;0.28
2011;BC;Essence;0.26
2012;BC;Essence;0.24
2013;BC;Essence;0.23
2014;BC;Essence;0.23
2015;BC;Essence;0.22
2016;BC;Essence;0.23
2017;BC;Essence;0.23
2018;BC;Essence;0.24
2010;du;Essence;0.25
2011;du;Essence;0.24
2012;du;Essence;0.22
2013;du;Essence;0.22
2014;du;Essence;0.22
2015;du;Essence;0.22
2016;du;Essence;0.23
2017;du;Essence;0.24
2018;du;Essence;0.26
2010;Cd;Essence;0.12
2011;Cd;Essence;0.11
2012;Cd;Essence;0.1
2013;Cd;Essence;0.1
2014;Cd;Essence;0.1
2015;Cd;Essence;0.1
2016;Cd;Essence;0.11
2017;Cd;Essence;0.11
2018;Cd;Essence;0.11
2010;Cr;Essence;0.24
2011;Cr;Essence;0.23
2012;Cr;Essence;0.22
2013;Cr;Essence;0.21
2014;Cr;Essence;0.21
2015;Cr;Essence;0.21
2016;Cr;Essence;0.22
2017;Cr;Essence;0.22
2018;Cr;Essence;0.23
2010;Cu;Essence;28.0
2011;Cu;Essence;28.0
2012;Cu;Essence;25.0
2013;Cu;Essence;25.0
2014;Cu;Essence;25.0
2015;Cu;Essence;25.0
2016;Cu;Essence;25.0
2017;Cu;Essence;26.0
2018;Cu;Essence;28.0
2010;Pb;Essence;13.0
2011;Pb;Essence;13.0
2012;Pb;Essence;12.0
2013;Pb;Essence;11.0
2014;Pb;Essence;11.0
2015;Pb;Essence;11.0
2016;Pb;Essence;12.0
2017;Pb;Essence;12.0
2018;Pb;Essence;13.0
2010;Zn;Essence;61.5
2011;Zn;Essence;59.36
2012;Zn;Essence;54.62
2013;Zn;Essence;53.62
2014;Zn;Essence;53.53
2015;Zn;Essence;54.2
2016;Zn;Essence;55.8
2017;Zn;Essence;57.58
2018;Zn;Essence;60.64
2010;HAP;Essence;0.29
2011;HAP;Essence;0.27
2012;HAP;Essence;0.25
2013;HAP;Essence;0.25
2014;HAP;Essence;0.25
2015;HAP;Essence;0.25
2016;HAP;Essence;0.26
2017;HAP;Essence;0.27
2018;HAP;Essence;0.28
2010;PCDD-F;Essence;2.38
2011;PCDD-F;Essence;2.08
2012;PCDD-F;Essence;1.78
2013;PCDD-F;Essence;1.62
2014;PCDD-F;Essence;1.5
2015;PCDD-F;Essence;1.4
2016;PCDD-F;Essence;1.34
2017;PCDD-F;Essence;1.3
2018;PCDD-F;Essence;1.28
2010;SO2;Essence;0.0
2011;SO2;Essence;0.0
2012;SO2;Essence;0.0
2013;SO2;Essence;0.0
2014;SO2;Essence;0.0
2015;SO2;Essence;0.0
2016;SO2;Essence;0.0
2017;SO2;Essence;0.0
2018;SO2;Essence;0.0
2010;Ni;Essence;0.28
2011;Ni;Essence;0.27
2012;Ni;Essence;0.25
2013;Ni;Essence;0.25
2014;Ni;Essence;0.25
2015;Ni;Essence;0.25
2016;Ni;Essence;0.26
2017;Ni;Essence;0.27
2018;Ni;Essence;0.28
2010;benzène;Essence;2740.0
2011;benzène;Essence;2255.0
2012;benzène;Essence;1974.0
2013;benzène;Essence;1772.0
2014;benzène;Essence;1571.0
2015;benzène;Essence;1527.0
2016;benzène;Essence;1424.0
2017;benzène;Essence;1342.0
2018;benzène;Essence;1249.0
2010;NOx;Autres;0.9
2011;NOx;Autres;1.1
2012;NOx;Autres;1.0
2013;NOx;Autres;1.0
2014;NOx;Autres;0.9
2015;NOx;Autres;0.9
2016;NOx;Autres;0.8
2017;NOx;Autres;0.8
2018;NOx;Autres;0.9
2010;COVNM;Autres;1.15
2011;COVNM;Autres;1.12
2012;COVNM;Autres;1.04
2013;COVNM;Autres;0.9
2014;COVNM;Autres;0.71
2015;COVNM;Autres;0.67
2016;COVNM;Autres;0.57
2017;COVNM;Autres;0.49
2018;COVNM;Autres;0.42
2010;CO;Autres;6.9
2011;CO;Autres;6.6
2012;CO;Autres;5.8
2013;CO;Autres;4.9
2014;CO;Autres;3.9
2015;CO;Autres;3.6
2016;CO;Autres;3.1
2017;CO;Autres;2.6
2018;CO;Autres;2.2
2010;PM10;Autres;0.05
2011;PM10;Autres;0.07
2012;PM10;Autres;0.07
2013;PM10;Autres;0.07
2014;PM10;Autres;0.07
2015;PM10;Autres;0.07
2016;PM10;Autres;0.07
2017;PM10;Autres;0.08
2018;PM10;Autres;0.09
2010;PM2,5;Autres;0.03
2011;PM2,5;Autres;0.04
2012;PM2,5;Autres;0.04
2013;PM2,5;Autres;0.04
2014;PM2,5;Autres;0.04
2015;PM2,5;Autres;0.04
2016;PM2,5;Autres;0.04
2017;PM2,5;Autres;0.04
2018;PM2,5;Autres;0.05
2010;PM1;Autres;0.0
2011;PM1;Autres;0.0
2012;PM1;Autres;0.0
2013;PM1;Autres;0.0
2014;PM1;Autres;0.0
2015;PM1;Autres;0.0
2016;PM1;Autres;0.0
2017;PM1;Autres;0.0
2018;PM1;Autres;0.0
2010;BC;Autres;0.0
2011;BC;Autres;0.0
2012;BC;Autres;0.0
2013;BC;Autres;0.0
2014;BC;Autres;0.0
2015;BC;Autres;0.0
2016;BC;Autres;0.0
2017;BC;Autres;0.0
2018;BC;Autres;0.0
2010;du;Autres;0.0
2011;du;Autres;0.0
2012;du;Autres;0.0
2013;du;Autres;0.0
2014;du;Autres;0.0
2015;du;Autres;0.0
2016;du;Autres;0.0
2017;du;Autres;0.0
2018;du;Autres;0.0
2010;Cd;Autres;0.0
2011;Cd;Autres;0.0
2012;Cd;Autres;0.0
2013;Cd;Autres;0.0
2014;Cd;Autres;0.0
2015;Cd;Autres;0.0
2016;Cd;Autres;0.0
2017;Cd;Autres;0.0
2018;Cd;Autres;0.0
2010;Cr;Autres;0.0
2011;Cr;Autres;0.0
2012;Cr;Autres;0.0
2013;Cr;Autres;0.0
2014;Cr;Autres;0.0
2015;Cr;Autres;0.0
2016;Cr;Autres;0.0
2017;Cr;Autres;0.0
2018;Cr;Autres;0.0
2010;Cu;Autres;0.5
2011;Cu;Autres;0.65
2012;Cu;Autres;0.65
2013;Cu;Autres;0.66
2014;Cu;Autres;0.68
2015;Cu;Autres;0.71
2016;Cu;Autres;0.76
2017;Cu;Autres;0.85
2018;Cu;Autres;0.98
2010;Pb;Autres;0.19
2011;Pb;Autres;0.23
2012;Pb;Autres;0.23
2013;Pb;Autres;0.22
2014;Pb;Autres;0.22
2015;Pb;Autres;0.23
2016;Pb;Autres;0.25
2017;Pb;Autres;0.28
2018;Pb;Autres;0.32
2010;Zn;Autres;1.04
2011;Zn;Autres;1.28
2012;Zn;Autres;1.24
2013;Zn;Autres;1.22
2014;Zn;Autres;1.2
2015;Zn;Autres;1.21
2016;Zn;Autres;1.25
2017;Zn;Autres;1.31
2018;Zn;Autres;1.45
2010;HAP;Autres;0.0
2011;HAP;Autres;0.0
2012;HAP;Autres;0.0
2013;HAP;Autres;0.0
2014;HAP;Autres;0.0
2015;HAP;Autres;0.0
2016;HAP;Autres;0.0
2017;HAP;Autres;0.0
2018;HAP;Autres;0.0
2010;PCDD-F;Autres;0.04
2011;PCDD-F;Autres;0.04
2012;PCDD-F;Autres;0.04
2013;PCDD-F;Autres;0.03
2014;PCDD-F;Autres;0.03
2015;PCDD-F;Autres;0.02
2016;PCDD-F;Autres;0.02
2017;PCDD-F;Autres;0.02
2018;PCDD-F;Autres;0.01
2010;SO2;Autres;0.01
2011;SO2;Autres;0.01
2012;SO2;Autres;0.01
2013;SO2;Autres;0.01
2014;SO2;Autres;0.01
2015;SO2;Autres;0.01
2016;SO2;Autres;0.01
2017;SO2;Autres;0.01
2018;SO2;Autres;0.01
2010;Ni;Autres;0.005
2011;Ni;Autres;0.006
2012;Ni;Autres;0.006
2013;Ni;Autres;0.006
2014;Ni;Autres;0.006
2015;Ni;Autres;0.006
2016;Ni;Autres;0.006
2017;Ni;Autres;0.007
2018;Ni;Autres;0.008
2010;benzène;Autres;0.0
2011;benzène;Autres;0.0
2012;benzène;Autres;0.0
2013;benzène;Autres;0.0
2014;benzène;Autres;0.0
2015;benzène;Autres;0.0
2016;benzène;Autres;0.0
2017;benzène;Autres;0.0
2018;benzène;Autres;0.0
