Année;Diesel;Essence;GPL;GNV;Electriques;Emissions
2010;204;33;0.7;0.016;0;NOx
2011;202;27;0.7;0.023;0;NOx
2012;207;21;0.5;0.022;0;NOx
2013;207;18;0.4;0.022;0;NOx
2014;210;16;0.4;0.014;0;NOx
2015;215;13;0.3;0.012;0;NOx
2016;214;12;0.2;0.009;0;NOx
2017;207;10;0.2;0.006;0;NOx
2018;197;9;0.1;0.005;0;NOx
2010;9;48;1.04;0.04;0;COVNM
2011;7;39;0.96;0.06;0;COVNM
2012;7;33;0.87;0.06;0;COVNM
2013;6;29;0.72;0.06;0;COVNM
2014;5;26;0.56;0.04;0;COVNM
2015;5;26;0.53;0.04;0;COVNM
2016;4;24;0.46;0.03;0;COVNM
2017;4;23;0.40;0.02;0;COVNM
2018;3;22;0.34;0.02;0;COVNM
2010;40;335;6.6;0.14;0;CO
2011;36;258;6.2;0.20;0;CO
2012;33;221;5.4;0.20;0;CO
2013;28;196;4.5;0.21;0;CO
2014;26;160;3.5;0.13;0;CO
2015;25;177;3.3;0.14;0;CO
2016;23;167;2.8;0.11;0;CO
2017;23;159;2.3;0.09;0;CO
2018;21;148;1.9;0.08;0;CO
2010;21;2.6;0.05;0;0;PM10
2011;19;2.4;0.05;0;0;PM10
2012;19;2.2;0.05;0;0;PM10
2013;18;2.2;0.04;0;0;PM10
2014;17;2.2;0.04;0;0;PM10
2015;17;2.2;0.04;0;0;PM10
2016;16;2.3;0.03;0;0;PM10
2017;15;2.5;0.03;0;0;PM10
2018;14;2.6;0.03;0;0;PM10
2010;19;1.6;0.03;0;0;PM2,5
2011;17;1.5;0.03;0;0;PM2,5
2012;16;1.3;0.03;0;0;PM2,5
2013;15;1.3;0.02;0;0;PM2,5
2014;14;1.3;0.02;0;0;PM2,5
2015;14;1.3;0.02;0;0;PM2,5
2016;13;1.4;0.02;0;0;PM2,5
2017;12;1.5;0.02;0;0;PM2,5
2018;11;1.6;0.02;0;0;PM2,5
2010;14;0.4;0;0;0;PM1
2011;13;0.3;0;0;0;PM1
2012;12;0.3;0;0;0;PM1
2013;11;0.3;0;0;0;PM1
2014;10;0.3;0;0;0;PM1
2015;10;0.3;0;0;0;PM1
2016;9;0.3;0;0;0;PM1
2017;8;0.3;0;0;0;PM1
2018;7;0.4;0;0;0;PM1
2010;13;0.17;0;0;0;BC
2011;11;0.15;0;0;0;BC
2012;11;0.14;0;0;0;BC
2013;9.8;0.14;0;0;0;BC
2014;8.8;0.13;0;0;0;BC
2015;8.4;0.13;0;0;0;BC
2016;7.8;0.14;0;0;0;BC
2017;7.0;0.15;0;0;0;BC
2018;6.2;0.16;0;0;0;BC
2010;0.6;0.2;0;0;0;du
2011;0.6;0.2;0;0;0;du
2012;0.6;0.2;0;0;0;du
2013;0.6;0.2;0;0;0;du
2014;0.6;0.2;0;0;0;du
2015;0.6;0.2;0;0;0;du
2016;0.7;0.2;0;0;0;du
2017;0.6;0.2;0;0;0;du
2018;0.6;0.2;0;0;0;du
2010;0.21;0.09;0;0;0;Cd
2011;0.21;0.08;0;0;0;Cd
2012;0.22;0.08;0;0;0;Cd
2013;0.23;0.07;0;0;0;Cd
2014;0.23;0.07;0;0;0;Cd
2015;0.25;0.08;0;0;0;Cd
2016;0.25;0.08;0;0;0;Cd
2017;0.25;0.08;0;0;0;Cd
2018;0.24;0.09;0;0;0;Cd
2010;0.84;0.18;0;0;0;Cr
2011;0.86;0.18;0;0;0;Cr
2012;0.89;0.16;0;0;0;Cr
2013;0.91;0.16;0;0;0;Cr
2014;0.93;0.16;0;0;0;Cr
2015;0.96;0.16;0;0;0;Cr
2016;0.98;0.17;0;0;0;Cr
2017;0.96;0.17;0;0;0;Cr
2018;0.93;0.18;0;0;0;Cr
2010;52;21;0.40;0;0;Cu
2011;55;20;0.48;0;0;Cu
2012;56;18;0.44;0;0.02;Cu
2013;56;18;0.40;0;0.03;Cu
2014;56;18;0.36;0;0.06;Cu
2015;57;18;0.33;0;0.09;Cu
2016;58;19;0.30;0;0.14;Cu
2017;56;20;0.27;0;0.21;Cu
2018;54;21;0.25;0;0.29;Cu
2010;24.6;10;0.18;0;0;Pb
2011;26.1;9;0.22;0;0;Pb
2012;26.2;8;0.20;0;0;Pb
2013;26.6;8;0.18;0;0;Pb
2014;26.6;8;0.17;0;0;Pb
2015;26.9;8;0.15;0;0;Pb
2016;27.3;9;0.14;0;0;Pb
2017;26.4;9;0.13;0;0;Pb
2018;25.5;10;0.12;0;0;Pb
2010;119.14;46.94;0.94;0.02;0.003;Zn
2011;123.40;45.04;1.08;0.03;0.007;Zn
2012;127.01;41.00;1.01;0.03;0.019;Zn
2013;129.63;40.21;0.92;0.04;0.041;Zn
2014;131.77;40.82;0.84;0.03;0.070;Zn
2015;135.14;41.66;0.77;0.03;0.114;Zn
2016;138.10;43.37;0.71;0.03;0.177;Zn
2017;134.43;45.30;0.64;0.02;0.259;Zn
2018;130.58;48.18;0.60;0.02;0.353;Zn
2010;1.94;0.21;0.001;0;0;HAP
2011;1.83;0.20;0.001;0;0;HAP
2012;1.76;0.18;0.001;0;0;HAP
2013;1.68;0.18;0.001;0;0;HAP
2014;1.60;0.18;0.001;0;0;HAP
2015;1.54;0.18;0.001;0;0;HAP
2016;1.49;0.19;0.001;0;0;HAP
2017;1.38;0.20;0.001;0;0;HAP
2018;1.27;0.22;0.001;0;0;HAP
2010;18.08;1.81;0.04;0;0;PCDD-F
2011;17.41;1.56;0.04;0;0;PCDD-F
2012;16.52;1.31;0.03;0;0;PCDD-F
2013;15.48;1.18;0.03;0;0;PCDD-F
2014;14.53;1.10;0.02;0;0;PCDD-F
2015;13.69;1.02;0.02;0;0;PCDD-F
2016;12.86;0.99;0.02;0;0;PCDD-F
2017;11.50;0.97;0.01;0;0;PCDD-F
2018;10.23;0.97;0.01;0;0;PCDD-F
2010;0.33;0.13;0.012;0;0;SO2
2011;0.34;0.12;0.013;0;0;SO2
2012;0.35;0.11;0.012;0;0;SO2
2013;0.34;0.11;0.010;0;0;SO2
2014;0.35;0.11;0.009;0;0;SO2
2015;0.36;0.11;0.008;0;0;SO2
2016;0.36;0.11;0.007;0;0;SO2
2017;0.35;0.12;0.006;0;0;SO2
2018;0.33;0.13;0.006;0;0;SO2
2010;0.54;0.22;0.004;0;0;Ni
2011;0.56;0.21;0.005;0;0;Ni
2012;0.58;0.19;0.005;0;0;Ni
2013;0.59;0.19;0.004;0;0;Ni
2014;0.60;0.19;0.004;0;0;Ni
2015;0.62;0.19;0.004;0;0;Ni
2016;0.63;0.20;0.003;0;0;Ni
2017;0.61;0.21;0.003;0;0;Ni
2018;0.60;0.22;0.003;0.00;0.002;Ni
2010;436;1698;0;0;0;benzène
2011;366;1314;0;0;0;benzène
2012;338;1103;0;0;0;benzène
2013;280;956;0;0;0;benzène
2014;247;814;0;0;0;benzène
2015;232;810;0;0;0;benzène
2016;200;752;0;0;0;benzène
2017;184;713;0;0;0;benzène
2018;157;659;0;0;0;benzène
